,model_name,dataset_name,layers,accuracy,f1,train_len,val_len,test_len
0,Window,mrpc,"[0, 1]",0.625,0.6162683190358441,1000,408,1000
1,Window,mrpc,[],0.6519607843137255,0.6453060764721128,1000,408,1000
2,Window,mrpc,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.5857843137254902,0.5815859141514704,1000,408,1000
3,Window,mrpc,"[2, 10]",0.6372549019607843,0.6322258299982381,1000,408,1000
4,Window,mrpc,"[0, 10]",0.6397058823529411,0.6323245004297948,1000,408,1000
5,Window,mrpc,"[5, 10]",0.6495098039215687,0.6442009027779239,1000,408,1000
6,Window,mrpc,"[4, 5, 9]",0.6323529411764706,0.6290688006651424,1000,408,1000
7,Window,mrpc,"[3, 9, 10]",0.6348039215686274,0.6336321694453182,1000,408,1000
8,Window,mrpc,"[1, 8, 11]",0.6176470588235294,0.6168362657563026,1000,408,1000
9,Window,mrpc,"[0, 2, 10, 11]",0.6323529411764706,0.6338321615746363,1000,408,1000
10,Window,mrpc,"[2, 3, 5, 9]",0.625,0.6211990820424556,1000,408,1000
11,Window,mrpc,"[1, 5, 7, 9]",0.6274509803921569,0.6241230513406776,1000,408,1000
12,Window,mrpc,"[4, 5, 6, 9, 10]",0.6029411764705882,0.5953491858343821,1000,408,1000
13,Window,mrpc,[0],0.6421568627450981,0.6380923109816393,1000,408,1000
14,Window,mrpc,[1],0.625,0.6129222829967829,1000,408,1000
15,Window,mrpc,[2],0.6151960784313726,0.6073125616835223,1000,408,1000
16,Window,mrpc,[3],0.6299019607843137,0.6212844194406043,1000,408,1000
17,Window,mrpc,[4],0.6495098039215687,0.6382214801865358,1000,408,1000
18,Window,mrpc,[5],0.6519607843137255,0.6453060764721128,1000,408,1000
19,Window,mrpc,[6],0.6200980392156863,0.6188791024431163,1000,408,1000
20,Window,mrpc,[7],0.6397058823529411,0.6351657709112263,1000,408,1000
21,Window,mrpc,[8],0.6348039215686274,0.6351811091751952,1000,408,1000
22,Window,mrpc,[9],0.6568627450980392,0.6529652297084213,1000,408,1000
23,Window,mrpc,[10],0.6715686274509803,0.6661656809921033,1000,408,1000
24,Window,mrpc,[11],0.6421568627450981,0.6353146983445667,1000,408,1000
25,Window,mrpc,"[5, 6, 8, 10, 11]",0.6225490196078431,0.617316066349518,1000,408,1000
26,Window,mrpc,"[1, 3, 4, 6, 10]",0.6568627450980392,0.6473768350122047,1000,408,1000
27,Window,mrpc,"[2, 3, 4, 8, 9]",0.6078431372549019,0.6086461147823823,1000,408,1000
28,Window,mrpc,"[0, 4, 5, 7, 8, 10]",0.6299019607843137,0.6242960581780873,1000,408,1000
29,Window,mrpc,"[0, 5, 6, 8, 9, 11]",0.625,0.6229596529040502,1000,408,1000
30,Window,mrpc,"[2, 4, 5, 6, 8, 11]",0.6102941176470589,0.6023101739342679,1000,408,1000
31,Window,mrpc,"[0, 1, 2, 3, 7, 8, 9]",0.6348039215686274,0.6302020399032158,1000,408,1000
32,Window,mrpc,"[1, 2, 3, 4, 8, 9, 11]",0.6127450980392157,0.6063744596772562,1000,408,1000
33,Window,mrpc,"[2, 3, 4, 7, 8, 9, 11]",0.5857843137254902,0.5862121305409932,1000,408,1000
34,Window,mrpc,"[1, 2, 3, 5, 6, 8, 9, 10]",0.5833333333333334,0.588013838013838,1000,408,1000
35,Window,mrpc,"[1, 2, 3, 4, 7, 8, 9, 10]",0.5882352941176471,0.5928607340372046,1000,408,1000
36,Window,mrpc,"[0, 3, 4, 5, 6, 7, 9, 10]",0.5931372549019608,0.5885159152256996,1000,408,1000
37,Window,mrpc,"[0, 1, 2, 4, 6, 7, 8, 9, 11]",0.6029411764705882,0.6029411764705883,1000,408,1000
38,Window,mrpc,"[0, 1, 2, 3, 5, 7, 8, 9, 10]",0.6200980392156863,0.6204904155849346,1000,408,1000
39,Window,mrpc,"[0, 3, 4, 5, 6, 7, 8, 9, 11]",0.5833333333333334,0.5824497767857143,1000,408,1000
40,Window,mrpc,"[9, 10, 11]",0.6519607843137255,0.6519607843137255,1000,408,1000
41,Window,mrpc,"[6, 10, 11]",0.6568627450980392,0.6512178756633915,1000,408,1000
42,Window,mrpc,"[2, 10, 11]",0.6323529411764706,0.6315733324579833,1000,408,1000
43,Window,mrpc,"[2, 3, 6, 9]",0.5808823529411765,0.5766342681650972,1000,408,1000
44,Window,mrpc,"[3, 6, 9, 10]",0.6200980392156863,0.6143436358781691,1000,408,1000
45,Window,mrpc,"[5, 6, 8, 9]",0.6715686274509803,0.6694057055446292,1000,408,1000
46,Window,mrpc,"[0, 1, 4, 9, 10]",0.6593137254901961,0.6582206144489882,1000,408,1000
47,Window,mrpc,"[0, 2, 3, 6, 7]",0.6348039215686274,0.6252470752844982,1000,408,1000
48,Window,mrpc,"[2, 3, 4, 8, 11]",0.6519607843137255,0.6496687327413234,1000,408,1000
